['150764，15', '1起八工有 个', 'ID证攻7林才 XS |芭修3', '当前单元 U1 世界各地的饮食', '']
['XSJ', 'XGN', '', '', '']
['150764，15', '1起八工有 个', 'ID证攻7林才 XS |芭修3', '当前单元 U1 世界各地的饮食', '']
['XSJ', 'XGN', '', '', '']
['150764，15', '1起八工有 个', 'ID证攻7林才 XS |芭修3', '当前单元 U1 世界各地的饮食', '']
['XSJ', 'XGN', '', '', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', '', '董*']
['immigrant', 'n. 移民', 'V. 模制，铸造</br>n. 模子，铸型', 'n. 保护，储藏', 'n.(非正式用语) 汉堡包']
['solid', '(美国)加利福尼亚州', 'n. 固体', 'n. 〈供煎，烤等的) 厚片的肉 〈尤指牛肉) 或', 'v. n.搅拌，搅动']
['pizza', 'n. 比萨饼', 'adj. 未加工的', 'n. 风味，滋味', 'adj. 种族的; 民族的']
['ethnic', '(美国)加利福尼亚州', 'n.(尤指墨西哥人食用的) 玉米薄饼', 'adj. 种族的; 民族的', 'v. 匆忙地做</br>n. 冲进; 忙乱']
['Vast', 'adj. 未加工的', 'v. 剥…的皮; 削.…的皮', 'v. n.搅拌，搅动', 'adj. 广大的; 巨大的']
['unprocessed', 'adv. 偶然地，意外地', 'adj. 未加工的', 'n.素食者', 'n.(非正式用语) 汉堡包']
['burger', 'n.(非正式用语) 汉堡包', 'n. 保护，储藏', 'n,(尤指墨西哥人食用的) 玉米薄饼', 'adj.美味的，可口的']
['vegetarian', 'adj. 烤制的</br>v. 烤', 'n. 素食者', 'adj.美味的，可口的', 'v. 油炸，油前']
['well-being', 'n. 保护，储藏', 'n. 健康，幸福', 'n. 柠柑', 'n. 咖唾']
['5', '恭喜你!', '', '', 'n. 咖唾']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', '', '']
['roast', 'adj. 烤制的</br>v. 烤', '(正餐前的)开胃菜', 'n. 风味，滋味', 'n. 意大利面食 (包括通心粉及面条等)']
['rush', 'V. 匆忙地做</br>n. 冲进; 忙乱', '(正餐前的)开胃菜', ') 加利福尼亚放', 'adj. 未加工的']
['steak', 'n. 防腐剂', 'n，(供煎，烤等的) 厚片的肉 〈尤指牛肉) 或', 'n.风俗，传统', 'v. 匆忙地做</br>n. 冲进; 忙乱']
['custom', 'n. 风俗，传统', 'V. 模制，铸造</br>n. 模子，铸型', 'n. (知识，思想等的) 范围', 'n. 酱汁，调味汁']
['California', 'n. 移民', 'n. 保护，储藏', '正餐前的) 开n.，(', '(美国)加利福尼亚州']
['accidentally', 'v. 剥…的皮; 削.…-的皮', 'adv. 偶然地，意外地', 'n. (知识，思想等的) 范围', 'adj.美味的，可口的']
['peel', 'v. 剥…的皮; 削.…-的皮', 'v. n.搅拌，搅动', '正餐前的) 开n.，(', 'n. 保护，储藏']
['Stir', 'n. 风味，滋味', 'n. 保护，储藏', 'v. n.搅拌，搅动', '(美国)加利福尼亚州']
['preservation', 'n. 保护，储藏', 'adv. 偶然地，意外地', 'n,(尤指墨西哥人食用的) 玉米薄饼', 'n.(非正式用语) 汉堡包']
['lemon', 'n. 柠檬', 'n，(供煎，烤等的) 厚片的肉 〈尤指牛肉) 或', 'v. 油炸，油前', 'n. 健康']
['5', '恭喜你!', '', '', 'n. 健康']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['', '', '', 'IT天刁 ri', '']
['fry', 'n. 移民', 'adv. 偶然地，意外地', 'v. 油炸，油前', 'adj.美味的，可口的']
['flavour', 'n. 移民', 'adv. 偶然地，意外地', 'n. 风味，滋味', 'v. n.搅拌，搅动']
['curry', 'n. 意大利面食 〈包括通心粉及面条等)', '(正餐前的)开胃菜', 'n. 咖唾', 'n. 柠檬']
['pasta', 'n. 健康度，幸福', 'n. 比萨饼', ') 加利福尼亚放', 'n. 意大利面食 (包括通心粉及面条等)']
['Sauce', 'n. 比萨饼', 'n. 桨和汁，调味汁', 'v. 油炸，油前', 'n. 健康']
['flavourful', 'n. 香料，调味品', 'v 油炸，油毅', ') 加利福尼亚放', 'adj.美味的，可口的']
['spice', 'V 模制，铸造</br>n. 模子，铸型', '(正餐前的)开胃菜', 'adj.美味的，可口的', 'n. 香料，调味品']
['mold', 'n. 保护，储藏', 'V. 模制，铸造</br>n. 模子，铸型', 'adj. 烤制的</br>v. 烤', 'n.(尤指墨西哥人食用的)玉米薄饼']
['tortilla', 'n. 柠檬', 'adj. 未加工的', 'n. 健康度，幸福', 'n.(尤指墨西哥人食用的)玉米薄饼']
['appetizer', '由.(正餐前的)开胃菜胃菜', 'v. n.搅拌，搅动', 'n. 健康度，幸福', 'V. 模制，铸造</br>n. 模子，铸型']
['5', '恭喜你!', '', '', '昌。 ，模制，铸造/br>n.模子， 铺型 必']
['ethnic', 'adj. 种族的; 民族的', 'n.(尤指墨西哥人食用的) 玉米薄饼', 'v. 匆忙地做</br>n. 冲进; 忙乱', '(美国)加利福尼亚州']
['well-being', 'n. 健康度，幸福', 'n. 柠檬', 'n. 保护，储藏', 'n. 咖唾']
['preservative', 'V 模制，铸造</br>n. 模子，铸型', 'adj. 美美味的，可口的', 'n. 防腐齐', 'n. 健康']
['horizon', 'n. 保护，储藏', 'V. 匆忙地做</br>n. 冲进; 忙乱', 'n. (知识，思想等的) 范围', '']
['burger', 'adj.美味的，可口的', 'n.(尤指墨西哥人食用的) 玉米薄饼', 'n. 保护，储藏', 'n.(非正式用语) 汉堡包']
['unprocessed', 'adj. 未加工的', 'n. 素食者', 'adv. 偶然地，意外地', 'n.(非正式用语) 汉堡包']
['Vast', 'adj. 广大的; 巨大的', 'v. n.搅拌，搅动', 'adj.未加工的', 'v 剥…的皮; 削.…的皮']
['immigrant', 'V 模制，铸造</br>n. 模子，铸型', 'n.(非正式用语) 汉堡包', 'n. 移民', 'n. 保护，储藏']
['vegetarian', 'adj. 烤制的</br>v. 烤', 'adj. 美美味的，可口的', 'v. 油炸，油前', 'n. 素食者']
['solid', 'v. n.搅拌，搅动', 'n，(供煎，烤等的) 厚片的肉 〈尤指牛肉) 或', 'n. 固体', '(美国)加利福尼亚州']
['5', '恭喜你!', '', '', '(美国)加利福尼亚州']
['ethnic', 'adj. 种族的; 民族的', 'V. 匆忙地做</br>n. 冲进; 忙乱', '(美国)加利福尼亚州', 'n.(尤指墨西哥人食用的)玉米薄饼']
['burger', 'n. 保护，储藏', 'n.(尤指墨西哥人食用的) 玉米薄饼', 'adj.美味的，可口的', 'n.(非正式用语) 汉堡包']
['pizza', 'adj. 种族的; 民族的', 'n. 比萨饼', 'n. 风味，滋味', 'adj. 未加工的']
['unprocessed', 'n.(非正式用语) 汉堡包', 'adv. 偶然地，意外地', 'n.素食者', 'adj. 未加工的']
['vegetarian', 'n. 素食者', 'v 油炸，油毅', 'adj. 烤制的</br>v. 烤', 'adj.美味的，可口的']
['Vast', 'adj. 广大的; 巨大的', 'v. 剥…的皮; 削.…的皮', 'adj.未加工的', 'v. n.搅拌，搅动']
['solid', 'n. 固体', 'n，(供煎，烤等的) 厚片的肉(尤指牛肉)或', '(美国)加利福尼亚州', 'v. n.搅拌，搅动']
['preservative', 'n. 防腐剂', 'adj. 美美味的，可口的', 'n. 健康度，幸福', 'V. 模制，铸造</br>n. 模子，铸型']
['well-being', 'n. 保护，储藏', 'n. 咖喱', 'n. 健康度，幸福', 'n. 柠檬']
['immigrant', 'n.(非正式用语) 汉堡包', 'V. 模制，铸造</br>n. 模子，铸型', 'n. 移民', 'n. 保护，储藏']
['7', '恭喜你!', '', '', 'n. 保护，储藏']
['Stir', '(美国)加利福尼亚州', 'n. 风味，滋味', 'n. 保护，储藏', 'v. n.搅拌，搅动']
['California', '(美国)加利福尼亚州', '(正餐前的)开胃菜', 'n. 保护，储藏', 'n. 移民']
['peel', 'v. 剥…的皮; 削.…-的皮', '(正餐前的)开胃菜', 'n. 保护，储藏', 'v. n.搅拌，搅动']
['lemon', 'n. 柠檬', 'v 油炸，油毅', 'n. 〈供煎，烤等的) 厚片的肉(尤指牛肉)或', 'n. 健康']
['steak', 'n. 防腐剂', 'n，(供煎，烤等的) 厚片的肉(尤指牛肉)或', 'n.风俗，传统', 'v. 匆忙地做</br>n. 冲进; 忙乱']
['roast', 'adj. 烤制的</br>v. 烤', 'n. 风味，滋味', '正餐前的) 开n.，(', 'n. 意大利面食 (包括通心粉及面条等)']
['custom', 'n. 酱汁，调味汁', 'n，(知识，思想等的) 范围，视野；地平线', 'n.风俗，传统', 'V. 模制，铸造</br>n. 模子，铸型']
['preservation', 'adv. 偶然地，意外地', 'n. 保护，储藏', 'n.，(非正式用语) 汉堡包', 'n.(尤指墨西哥人食用的)玉米薄饼']
['rush', '由.(正餐前的)开胃菜胃菜', 'V. 匆忙地做</br>n. 冲进; 忙乱', '(美国)加利福尼亚州', 'adj. 未加工的']
['accidentally', 'n. (知识，思想等的) 范有围，视野地了线', 'adv. 偶然地，意外地', 'adj.美味的，可口的', 'v 剥…的皮; 削.…的皮']
['', '恭喜你!', '', '', 'v 剥…的皮; 削.….的皮']
['tortilla', 'n. 健康度，幸福', 'adj. 未加工的', 'n. 柠柑', 'n.(尤指墨西哥人食用的)玉米薄饼']
['spice', 'n. 香料，调味品', 'V. 模制，铸造</br>n. 模子，铸型', 'adj.美味的，可口的', '.到料']
['Sauce', 'n. 比萨饼', 'v 油炸，油毅', '.效汁，调味汁', 'n. 健康']
['flavour', 'n. 风味，滋味', 'n. 移民', 'adv. 偶然地，意外地', 'v. n.搅拌，搅动']
['curry', 'n. 意大利面食 〈包括通心粉及面条等)', 'n. 柠檬', 'n. 咖喱', '.到料']
['appetizer', 'V 模制，铸造</br>n. 模子，铸型', 'v. n.搅拌，搅动', '正餐前的) 开n.，(', 'n. 健康']
['flavourful', 'n. 香料，调味品', '(美国)加利福尼亚州', 'v. 油炸，油前', 'adj.美味的，可口的']
['pasta', 'n. 意大利面食 〈包括通心粉及面条等)', 'n. 比萨饼', '(美国)加利福尼亚州', 'n. 健康']
['mold', 'n. 保护，储藏', 'n.(尤指墨西哥人食用的) 玉米薄饼', 'V 模制，铸造</br>n. 模子，铸型', 'adj. 烤制的</br>v. 烤']
['fry', 'v 油炸，油航', 'n. 移民', 'adj.美味的，可口的', 'adv. 偶然地，意外地']
['fr和ga', 'v切熹你竹前', '', 'adj.美味的，可口的', 'adv. 偶然地，意外地']
